Django海淀,北京,django,本科,3-5年,"[""\u540e\u7aef"", ""Python"", ""Django"", ""\u8ba1\u7b97\u673a\u76f8\u5173\u4e13\u4e1a"", ""\u5168\u6808\u5f00\u53d1\u7ecf\u9a8c"", """", """", """"]","[12000, 18000]",0薪,"[""\u52a0\u73ed\u8865\u52a9"", ""\u5e26\u85aa\u5e74\u5047"", ""\u4e94\u9669\u4e00\u91d1"", ""\u5b9a\u671f\u4f53\u68c0"", ""\u8282\u65e5\u798f\u5229""]",副总裁,朱先生副总裁,0,研峰科技,"https://img.bosszhipin.com/beijin/mcs/chatphoto/20170506/e67e0be2c75763f0b4da48017deadac8a135f3b728f458acb504dfc857629ced.jpg?x-oss-process=image/resize,w_100,limit_0",进出口贸易,B轮,"[100, 499]",https://www.zhipin.com/job_detail/6b421a2756f510b71nJ539S6E1M~.html?lid=62BcsDlWLkg.search.1&securityId=2C_Ukf8ah2ZGu--1hHmurIheVWvPPS8ntwTNFKEdBrau--RWGJ4qbtboa14ubEwIKGgMJV2rLd7xFhmn9zlho7TWed1vPNPG9N5xzu3-wegzTCI~&sessionId=,https://www.zhipin.com/gongsi/2e0aa0cdaf3892461XN-2N25.html,海淀区
django开发,长沙,django,本科,经验不限,"[""\u670d\u52a1\u7aef\u5f00\u53d1\u7ecf\u9a8c"", ""Django"", ""\u540e\u7aef"", ""\u8ba1\u7b97\u673a\u76f8\u5173\u4e13\u4e1a"", ""Python""]","[5000, 7000]",0薪,"[""\u4e94\u9669\u4e00\u91d1"", ""\u80a1\u7968\u671f\u6743"", ""\u8282\u65e5\u798f\u5229""]",招聘者,邓先生招聘者,0,丁当通联信息科技,"https://img.bosszhipin.com/beijin/mcs/chatphoto/20191028/738580a6f00095100d4b85a6d8bcc40cb1b813924217e5458179c8bd6ff1f205_s.jpg?x-oss-process=image/resize,w_100,limit_0",电子商务,天使轮,"[20, 99]",https://www.zhipin.com/job_detail/188cbd882dc3b3681X150tW9EFNZ.html?lid=62BcsDlWLkg.search.2&securityId=zrM2Rv5UAxMGJ-011Iyi_HULINIxTzssjFYKUUCwZjwLu_PiJNm57VtOBPb12v1rwgIClsctwo7rXkOzhpGbO40sqpS4WXX226RCNZXGu9McyILPUqc~&sessionId=,https://www.zhipin.com/gongsi/2e0aa0cdaf3892461XN-2N25.html,长沙县
Python Django后端,上海,django,本科,1-3年,"[""Django"", ""GIT"", ""MySQL""]","[9000, 10000]",0薪,"[""\u4e94\u9669\u4e00\u91d1"", ""\u80a1\u7968\u671f\u6743"", ""\u5e26\u85aa\u5e74\u5047""]",HR,彭女士HR,0,狐步网络科技,"https://img.bosszhipin.com/beijin/upload/com/workfeel/20231020/7bf6f160950405e9895f71fc806a539065fa151a902440a7af3a367f1262fb9affd8f1296cae0f69.png.webp?x-oss-process=image/resize,w_100,limit_0",电子商务,天使轮,"[0, 20]",https://www.zhipin.com/job_detail/97eab536ec5c351a1Xd82921FVpT.html?lid=62BcsDlWLkg.search.3&securityId=3RG2EnY8Pk6u5-61Y3gJ7lCihh3-_eGPNqc4gHxYNmJ7FBih5qpD2QnCTExbLjxAxNvO6g4hX2RIWOUL3CIy5mTgjWPxGbGrpJbpohNFLnVF8fuKGo9X&sessionId=,https://www.zhipin.com/gongsi/2e0aa0cdaf3892461XN-2N25.html,杨浦区
Python/Django工程师,天津,django,本科,1-3年,"[""Redis"", ""\u8ba1\u7b97\u673a\u76f8\u5173\u4e13\u4e1a"", ""\u540e\u7aef"", ""Windows"", ""\u82f1\u8bed\u8bfb\u5199\u80fd\u529b\u826f\u597d"", """", """", """", """", """", """", """", """", """"]","[6000, 10000]",0薪,"[""\u4e94\u9669\u4e00\u91d1""]",招聘者,白先生招聘者,0,艾尔康,"https://img.bosszhipin.com/beijin/icon/894ce6fa7e58d64d57e7f22d2f3a9d18afa7fcceaa24b8ea28f56f1bb14732c0.png?x-oss-process=image/resize,w_100,limit_0",计算机软件,未融资,"[0, 20]",https://www.zhipin.com/job_detail/41e53657b405a1d61nx40ti_GFFU.html?lid=62BcsDlWLkg.search.4&securityId=EnPbAiRFPftUU-a1obg1ZNc4TTdST0QJGJnznVOx0dyezBchp7u-oMfS-p55206fwfsp_L3K_wLwmqBwF4B7iSNCip17bgdiC9_n0EjhPowH8__bZ2_k&sessionId=,https://www.zhipin.com/gongsi/2e0aa0cdaf3892461XN-2N25.html,津南区
django开发工程师,苏州,django,本科,3-5年,"[""Golang"", ""\u8ba1\u7b97\u673a\u76f8\u5173\u4e13\u4e1a"", ""\u540e\u7aef"", ""Python""]","[30000, 35000]",13薪,"[""\u4f01\u4e1a\u5e74\u91d1"", ""\u8282\u65e5\u798f\u5229"", ""\u56e2\u5efa\u805a\u9910"", ""\u901a\u8baf\u8865\u8d34"", ""\u514d\u8d39\u5de5\u88c5"", ""\u4ea4\u901a\u8865\u52a9"", ""\u751f\u65e5\u798f\u5229"", ""\u7ee9\u6548\u5956\u91d1"", ""\u4e94\u9669\u4e00\u91d1"", ""\u516c\u79ef\u91d1\u8865\u8d34"", ""\u514d\u8d39\u73ed\u8f66"", ""\u8865\u5145\u533b\u7597\u4fdd\u9669"", ""\u5e74\u7ec8\u5956"", ""\u5e26\u85aa\u5e74\u5047"", ""\u4f4f\u623f\u8865\u8d34"", ""\u52a0\u73ed\u8865\u52a9"", ""\u9910\u8865"", ""\u9ad8\u6e29\u8865\u8d34"", ""\u5458\u5de5\u65c5\u6e38"", ""\u5b9a\u671f\u4f53\u68c0""]",产品经理,王先生产品经理,0,中移,"https://img.bosszhipin.com/beijin/mcs/chatphoto/20190219/21fbda5308227e820ca6028141c7be2ecfcd208495d565ef66e7dff9f98764da.jpg?x-oss-process=image/resize,w_100,limit_0",计算机软件,已上市,"[1000, 9999]",https://www.zhipin.com/job_detail/abaec111af45cb181XN52tW8GFRV.html?lid=62BcsDlWLkg.search.5&securityId=_3uwGUtAMM0Bm-a1Gvrm_-es2l75ujwlX4FUI597yhrbiMtPqWot4pdkkiwMF9WkNaftckNwEODd_z8EsNoc6dR-M-GZJYnkR0fXdd9o0N6htGyWCw~~&sessionId=,https://www.zhipin.com/gongsi/2e0aa0cdaf3892461XN-2N25.html,虎丘区
Python工程师 django flask,哈尔滨,django,大专,1-3年,"[""Django"", ""Flask""]","[7000, 12000]",0薪,"[""\u4e94\u9669\u4e00\u91d1"", ""\u901a\u8baf\u8865\u8d34"", ""\u96f6\u98df\u4e0b\u5348\u8336"", ""\u5e74\u7ec8\u5956"", ""\u5e26\u85aa\u5e74\u5047""]",人事,陈女士人事,0,乌嘎信息,"https://img.bosszhipin.com/beijin/mcs/chatphoto/20180628/49348f072b8fdb3da9be4a855d9b83bc031d6f7f440257f16ba0478df2f1427d.jpg?x-oss-process=image/resize,w_100,limit_0",通信/网络设备,未融资,"[0, 20]",https://www.zhipin.com/job_detail/acd9bc2fc1e299831nJz2d6-E1BT.html?lid=62BcsDlWLkg.search.6&securityId=TpGnJJwtu1JIk-C1HlDHV2czmHKqXbCTu4fnQ_8qw8b9znc3wQHcUWuahm09eH9SyTNQiiVHQhsM2siyGpQnrriWO_ccCF2GilkgjLJONVbnFxAl&sessionId=,https://www.zhipin.com/gongsi/2e0aa0cdaf3892461XN-2N25.html,松北区
Django 开发工程师,西安,django,本科,3-5年,"[""SQL"", ""Django"", ""Flask""]","[10000, 15000]",13薪,"[""\u8865\u5145\u533b\u7597\u4fdd\u9669"", ""\u5b9a\u671f\u4f53\u68c0"", ""\u5458\u5de5\u65c5\u6e38"", ""\u52a0\u73ed\u8865\u52a9"", ""\u4f4f\u623f\u8865\u8d34"", ""\u8282\u65e5\u798f\u5229"", ""\u5e26\u85aa\u5e74\u5047"", ""\u80a1\u7968\u671f\u6743"", ""\u96f6\u98df\u4e0b\u5348\u8336"", ""\u4e94\u9669\u4e00\u91d1"", ""\u5e74\u7ec8\u5956""]",人力资源经理,亢女士人力资源经理,0,维恩咨询,"https://img.bosszhipin.com/beijin/mcs/chatphoto/20180305/2dcf30b936691307a6117fc125a072d7cfcd208495d565ef66e7dff9f98764da.jpg?x-oss-process=image/resize,w_100,limit_0",大数据,未融资,"[20, 99]",https://www.zhipin.com/job_detail/283d9a8738c095d91nx_3tq-GVVV.html?lid=62BcsDlWLkg.search.7&securityId=MMUKk6J2Z1QkA-t1deYqKGFDBl0WG170LQcYuT27U3PXpQMA8Pyqk473AJrdWdne06fuQF9b2phO6T_ObUnCfRkYStkIw8LZwPpfrh88kjYqbNMp-I8~&sessionId=,https://www.zhipin.com/gongsi/2e0aa0cdaf3892461XN-2N25.html,雁塔区
django开发工程师,武汉,django,本科,1-3年,"[""Python"", ""C++"", ""Django"", ""Flask"", ""MySQL"", ""Redis"", ""MongoDB""]","[7000, 9000]",0薪,无,招聘者,李先生招聘者,0,武汉幂思信息科技,"https://img.bosszhipin.com/beijin/icon/894ce6fa7e58d64d57e7f22d2f3a9d18afa7fcceaa24b8ea28f56f1bb14732c0.png?x-oss-process=image/resize,w_100,limit_0",互联网,未融资,"[20, 99]",https://www.zhipin.com/job_detail/0a4c0417b446224f1HV929m-FlpT.html?lid=62BcsDlWLkg.search.8&securityId=aXs1b793GzSoH-Z15f2G2t9Kal2P6ljw3oD3Kd7cu8jIP-jGR7R8k0ye8A0gqwrhiqbF0nkrmAH7sqvglNy4xQkFfcdtYKIYM3MJbogwOvvCrSTRKgc~&sessionId=,https://www.zhipin.com/gongsi/2e0aa0cdaf3892461XN-2N25.html,武昌区
Django开发工程师《OD》,杭州,django,本科,1-3年,"[""Django"", ""\u591a\u8fdb\u7a0b"", ""\u670d\u52a1\u5668\u914d\u7f6e"", ""\u8f6f\u4ef6\u5de5\u7a0b\u5e08"", ""Linux"", ""MySQL""]","[20000, 40000]",0薪,"[""\u9910\u8865"", ""\u96f6\u98df\u4e0b\u5348\u8336"", ""\u5b9a\u671f\u4f53\u68c0"", ""\u8282\u65e5\u798f\u5229"", ""\u5e74\u7ec8\u5956"", ""\u8865\u5145\u533b\u7597\u4fdd\u9669"", ""\u4e94\u9669\u4e00\u91d1"", ""\u5458\u5de5\u65c5\u6e38"", ""\u80a1\u7968\u671f\u6743"", ""\u52a0\u73ed\u8865\u52a9""]",招聘经理,王先生招聘经理,0,华为,"https://img.bosszhipin.com/beijin/upload/com/logo/20200429/8f64c9d0b30a53c434b26799ca78966cec9b49ecaf1604cb263748f03d5c2b0f.png?x-oss-process=image/resize,w_100,limit_0",计算机软件,不需要融资,"[0, 10000]",https://www.zhipin.com/job_detail/567892bedba80c971XZ83tW4FFtX.html?lid=62BcsDlWLkg.search.9&securityId=8xDzJaQshxfoQ-V1SCYEYD8DQ-5N8R6zrKUVH3YNWLE8oogUlgrKC8slYFrXK4XXb5f6yidWBg4c_N_St_tmlqBnus4HAn4mPskGH4lNs-G2VQ~~&sessionId=,https://www.zhipin.com/gongsi/2e0aa0cdaf3892461XN-2N25.html,滨江区
Python+Django开发工程师,北京,django,本科,1-3年,"[""Python"", ""Python\u5de5\u7a0b\u5e08"", ""Python\u7b97\u6cd5\u5de5\u7a0b\u5e08"", ""Django""]","[9000, 12000]",0薪,"[""\u4e94\u9669\u4e00\u91d1""]",HR,刘女士HR,0,北京搜麦,"https://img.bosszhipin.com/beijin/icon/894ce6fa7e58d64d57e7f22d2f3a9d18afa7fcceaa24b8ea28f56f1bb14732c0.png?x-oss-process=image/resize,w_100,limit_0",计算机软件,未融资,"[20, 99]",https://www.zhipin.com/job_detail/45c59581bcc9c6741nV83tu-E1RQ.html?lid=62BcsDlWLkg.search.10&securityId=rISlFM7p_hvAk-n1kypYXc57VJAltweBZHpPfF9vvf4WV34tg1zkJQW4Zfggt9NGLqzTmD4pjD-8I1A7Poc9CravQpXdgGOLaHi_hkD5OLjDL4ERNQ~~&sessionId=,https://www.zhipin.com/gongsi/2e0aa0cdaf3892461XN-2N25.html,昌平区
